companyid	attribute_id	value	fiscial_year	quarter	date_inserted	source	unit
1	66	236	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	302	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	222	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	314	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	240	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	318	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	248	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	362	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	284	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	371	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	120	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	151	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	109	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	172	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	131	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	170	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	128	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	197	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	161	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	200	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	12.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	24.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	1.4	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	30.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	25.1	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	36.2	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	19.9	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	55.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	43.3	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	47.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	9.3	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	19.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	-2.2	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	26.4	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	22.0	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	36.1	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	16.2	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	52.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	41.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	44.4	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	9.1	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	19.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	-1.9	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	26.7	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	22.3	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	36.3	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	16.3	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	52.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	41.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	58.3	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	109	0.30	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.66	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	109	-0.06	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.89	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.74	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.21	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.54	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.75	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.38	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.94	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
1	6	30.00	2023	3	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2023	4	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2024	1	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2024	2	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2024	3	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2024	4	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2025	1	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2025	2	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2025	3	2026-04-02 11:52:28+00	borsdata	Milj
1	6	30.00	2025	4	2026-04-02 11:52:28+00	borsdata	Milj
1	105	0.00	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.83	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.83	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.83	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.83	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.00	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.00	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.00	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.00	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
1	105	0.00	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
1	39	63.8	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	67.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	74.3	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	79.3	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	79.6	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	78.0	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	77.6	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	81.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	82.9	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	39	84.0	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	288	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	283	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	274	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	264	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	253	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	251	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	242	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	234	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	275	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	65	289	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	82.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	83.2	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	86.7	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	83.8	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	84.0	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	114	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	113	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	113	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	114	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	31	127	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	435	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	434	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	435	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	427	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	417	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	443	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	433	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	429	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	471	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	89	500	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	120	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	151	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	126	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	220	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	190	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	197	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	173	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	260	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	227	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	42	254	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	381	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	366	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	366	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	428	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	419	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	425	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	414	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	485	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	504	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	92	490	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	914	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	975	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	93	990	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	159	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	179	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	177	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	203	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	226	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	237	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	253	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	306	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	348	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	90	406	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	204	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	183	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	178	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	172	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	236	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	268	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	261	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	248	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	287	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	61	265	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	454	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	438	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	447	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	479	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	374	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	363	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	333	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	359	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	340	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	51	319	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	914	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	975	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	91	990	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	170	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	133	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	150	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	48.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	70.2	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	63.5	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	80.0	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	-15.0	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	59.9	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	72	33.3	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	-13.7	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	50.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	-4.5	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	106	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	-18.4	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	71.7	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	-13.0	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	104	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	-18.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	45	50.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-8.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-11.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-9.6	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-7.2	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-3.1	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-2.5	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-3.5	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-9.2	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-5.6	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	44	-13.9	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-7.0	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-7.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-11.0	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-4.7	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-7.9	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-32.8	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-7.7	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-7.9	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-8.7	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	43	-9.7	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	-29.6	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	31.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	-25.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	93.9	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	-29.5	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	36.4	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	-24.2	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	87.1	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	-32.8	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	113	27.2	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	-22.6	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	39.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	-14.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	98.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	-21.5	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	69.2	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	-16.5	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	94.9	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	-24.1	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	33	36.9	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	24.7	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	37.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	14.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	43.3	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	38.3	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	50.0	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	33.1	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	68.6	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	57.2	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	23	62.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	657	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	621	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	624	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	651	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	610	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	631	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	593	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	608	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	627	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	101	583	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	914	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	975	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	102	990	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	70	7.88	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	70	10.05	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	70	7.41	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	70	10.47	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	70	7.99	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
1	70	10.61	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
1	70	8.26	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
1	70	12.06	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
1	70	9.46	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
1	70	12.35	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
1	24	0.82	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	24	1.23	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	24	0.47	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	24	1.44	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	24	1.28	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
